t,r,y,u
4.690000,1.000000,0.877203,0.914023
4.700000,1.000000,0.877574,0.914277
4.710000,1.000000,0.877944,0.914531
4.720000,1.000000,0.878312,0.914783
4.730000,1.000000,0.878679,0.915035
4.740000,1.000000,0.879045,0.915286
4.750000,1.000000,0.879410,0.915536
4.760000,1.000000,0.879774,0.915786
4.770000,1.000000,0.880137,0.916035
4.780000,1.000000,0.880498,0.916283
4.790000,1.000000,0.880858,0.916531
4.800000,1.000000,0.881218,0.916777
4.810000,1.000000,0.881576,0.917024
4.820000,1.000000,0.881933,0.917269
4.830000,1.000000,0.882288,0.917514
4.840000,1.000000,0.882643,0.917758
4.850000,1.000000,0.882997,0.918001
4.860000,1.000000,0.883349,0.918244
4.870000,1.000000,0.883700,0.918486
4.880000,1.000000,0.884051,0.918727
4.890000,1.000000,0.884400,0.918967
4.900000,1.000000,0.884748,0.919207
4.910000,1.000000,0.885095,0.919446
4.920000,1.000000,0.885441,0.919685
4.930000,1.000000,0.885786,0.919923
4.940000,1.000000,0.886129,0.920160
4.950000,1.000000,0.886472,0.920396
4.960000,1.000000,0.886814,0.920632
4.970000,1.000000,0.887154,0.920867
4.980000,1.000000,0.887494,0.921101
4.990000,1.000000,0.887832,0.921335
5.000000,1.000000,0.888169,0.921568
5.010000,1.000000,0.888506,0.921800
5.020000,1.000000,0.888841,0.922032
5.030000,1.000000,0.889175,0.922263
5.040000,1.000000,0.889508,0.922494
5.050000,1.000000,0.889841,0.922723
5.060000,1.000000,0.890172,0.922952
5.070000,1.000000,0.890502,0.923181
5.080000,1.000000,0.890831,0.923408
5.090000,1.000000,0.891159,0.923635
5.100000,1.000000,0.891486,0.923862
5.110000,1.000000,0.891812,0.924088
5.120000,1.000000,0.892137,0.924313
5.130000,1.000000,0.892461,0.924537
5.140000,1.000000,0.892784,0.924761
5.150000,1.000000,0.893106,0.924984
5.160000,1.000000,0.893427,0.925207
5.170000,1.000000,0.893747,0.925428
5.180000,1.000000,0.894066,0.925650
5.190000,1.000000,0.894384,0.925870
5.200000,1.000000,0.894701,0.926090
5.210000,1.000000,0.895017,0.926309
5.220000,1.000000,0.895332,0.926528
5.230000,1.000000,0.895646,0.926746
5.240000,1.000000,0.895960,0.926963
5.250000,1.000000,0.896272,0.927180
5.260000,1.000000,0.896583,0.927396
5.270000,1.000000,0.896893,0.927612
5.280000,1.000000,0.897203,0.927827
5.290000,1.000000,0.897511,0.928041
5.300000,1.000000,0.897818,0.928254
5.310000,1.000000,0.898125,0.928467
5.320000,1.000000,0.898430,0.928680
5.330000,1.000000,0.898735,0.928891
5.340000,1.000000,0.899039,0.929103
5.350000,1.000000,0.899342,0.929313
5.360000,1.000000,0.899643,0.929523
5.370000,1.000000,0.899944,0.929732
5.380000,1.000000,0.900244,0.929941
5.390000,1.000000,0.900543,0.930149
5.400000,1.000000,0.900841,0.930357
5.410000,1.000000,0.901139,0.930563
5.420000,1.000000,0.901435,0.930770
5.430000,1.000000,0.901730,0.930975
5.440000,1.000000,0.902025,0.931180
5.450000,1.000000,0.902318,0.931385
5.460000,1.000000,0.902611,0.931589
5.470000,1.000000,0.902903,0.931792
5.480000,1.000000,0.903194,0.931994
5.490000,1.000000,0.903484,0.932197
5.500000,1.000000,0.903773,0.932398
5.510000,1.000000,0.904061,0.932599
5.520000,1.000000,0.904349,0.932799
5.530000,1.000000,0.904635,0.932999
5.540000,1.000000,0.904921,0.933198
5.550000,1.000000,0.905206,0.933397
5.560000,1.000000,0.905489,0.933594
5.570000,1.000000,0.905772,0.933792
5.580000,1.000000,0.906055,0.933989
5.590000,1.000000,0.906336,0.934185
5.600000,1.000000,0.906616,0.934381
5.610000,1.000000,0.906896,0.934576
5.620000,1.000000,0.907175,0.934770
5.630000,1.000000,0.907453,0.934964
5.640000,1.000000,0.907730,0.935157
5.650000,1.000000,0.908006,0.935350
5.660000,1.000000,0.908281,0.935542
5.670000,1.000000,0.908556,0.935734
5.680000,1.000000,0.908829,0.935925
5.690000,1.000000,0.909102,0.936116
5.700000,1.000000,0.909374,0.936306
5.710000,1.000000,0.909646,0.936495
5.720000,1.000000,0.909916,0.936684
5.730000,1.000000,0.910185,0.936872
5.740000,1.000000,0.910454,0.937060
5.750000,1.000000,0.910722,0.937247
5.760000,1.000000,0.910989,0.937434
5.770000,1.000000,0.911256,0.937620
5.780000,1.000000,0.911521,0.937805
5.790000,1.000000,0.911786,0.937990
5.800000,1.000000,0.912050,0.938175
5.810000,1.000000,0.912313,0.938359
5.820000,1.000000,0.912575,0.938542
5.830000,1.000000,0.912837,0.938725
5.840000,1.000000,0.913097,0.938907
5.850000,1.000000,0.913357,0.939089
5.860000,1.000000,0.913616,0.939270
5.870000,1.000000,0.913875,0.939451
5.880000,1.000000,0.914132,0.939631
5.890000,1.000000,0.914389,0.939811
5.900000,1.000000,0.914645,0.939990
5.910000,1.000000,0.914900,0.940168
5.920000,1.000000,0.915155,0.940346
5.930000,1.000000,0.915408,0.940524
5.940000,1.000000,0.915661,0.940701
5.950000,1.000000,0.915913,0.940877
5.960000,1.000000,0.916165,0.941053
5.970000,1.000000,0.916415,0.941229
5.980000,1.000000,0.916665,0.941404
5.990000,1.000000,0.916915,0.941578
6.000000,1.000000,0.917163,0.941752
6.010000,1.000000,0.917411,0.941925
6.020000,1.000000,0.917657,0.942098
6.030000,1.000000,0.917904,0.942270
6.040000,1.000000,0.918149,0.942442
6.050000,1.000000,0.918394,0.942614
6.060000,1.000000,0.918637,0.942784
6.070000,1.000000,0.918881,0.942955
6.080000,1.000000,0.919123,0.943124
6.090000,1.000000,0.919365,0.943294
6.100000,1.000000,0.919606,0.943463
6.110000,1.000000,0.919846,0.943631
6.120000,1.000000,0.920086,0.943799
6.130000,1.000000,0.920324,0.943966
6.140000,1.000000,0.920562,0.944133
6.150000,1.000000,0.920800,0.944299
6.160000,1.000000,0.921036,0.944465
6.170000,1.000000,0.921272,0.944630
6.180000,1.000000,0.921508,0.944795
6.190000,1.000000,0.921742,0.944960
6.200000,1.000000,0.921976,0.945123
6.210000,1.000000,0.922209,0.945287
6.220000,1.000000,0.922441,0.945450
6.230000,1.000000,0.922673,0.945612
6.240000,1.000000,0.922904,0.945774
6.250000,1.000000,0.923134,0.945936
6.260000,1.000000,0.923364,0.946097
6.270000,1.000000,0.923593,0.946257
6.280000,1.000000,0.923821,0.946417
6.290000,1.000000,0.924049,0.946577
6.300000,1.000000,0.924276,0.946736
6.310000,1.000000,0.924502,0.946894
6.320000,1.000000,0.924727,0.947053
6.330000,1.000000,0.924952,0.947210
6.340000,1.000000,0.925176,0.947367
6.350000,1.000000,0.925400,0.947524
6.360000,1.000000,0.925623,0.947680
6.370000,1.000000,0.925845,0.947836
6.380000,1.000000,0.926066,0.947992
6.390000,1.000000,0.926287,0.948147
6.400000,1.000000,0.926507,0.948301
6.410000,1.000000,0.926727,0.948455
6.420000,1.000000,0.926945,0.948609
6.430000,1.000000,0.927164,0.948762
6.440000,1.000000,0.927381,0.948914
6.450000,1.000000,0.927598,0.949066
6.460000,1.000000,0.927814,0.949218
6.470000,1.000000,0.928030,0.949369
6.480000,1.000000,0.928245,0.949520
6.490000,1.000000,0.928459,0.949671
6.500000,1.000000,0.928673,0.949820
6.510000,1.000000,0.928886,0.949970
6.520000,1.000000,0.929098,0.950119
6.530000,1.000000,0.929310,0.950268
6.540000,1.000000,0.929521,0.950416
6.550000,1.000000,0.929731,0.950563
6.560000,1.000000,0.929941,0.950711
6.570000,1.000000,0.930150,0.950857
6.580000,1.000000,0.930359,0.951004
6.590000,1.000000,0.930566,0.951150
6.600000,1.000000,0.930774,0.951295
6.610000,1.000000,0.930980,0.951440
6.620000,1.000000,0.931186,0.951585
6.630000,1.000000,0.931392,0.951729
6.640000,1.000000,0.931597,0.951873
6.650000,1.000000,0.931801,0.952017
6.660000,1.000000,0.932004,0.952160
6.670000,1.000000,0.932207,0.952302
6.680000,1.000000,0.932410,0.952444
6.690000,1.000000,0.932612,0.952586
6.700000,1.000000,0.932813,0.952727
6.710000,1.000000,0.933013,0.952868
6.720000,1.000000,0.933213,0.953008
6.730000,1.000000,0.933413,0.953148
6.740000,1.000000,0.933611,0.953288
6.750000,1.000000,0.933810,0.953427
6.760000,1.000000,0.934007,0.953566
6.770000,1.000000,0.934204,0.953704
6.780000,1.000000,0.934400,0.953842
6.790000,1.000000,0.934596,0.953980
6.800000,1.000000,0.934791,0.954117
6.810000,1.000000,0.934986,0.954254
6.820000,1.000000,0.935180,0.954390
6.830000,1.000000,0.935374,0.954526
6.840000,1.000000,0.935566,0.954661
6.850000,1.000000,0.935759,0.954797
6.860000,1.000000,0.935950,0.954931
6.870000,1.000000,0.936142,0.955066
6.880000,1.000000,0.936332,0.955199
6.890000,1.000000,0.936522,0.955333
6.900000,1.000000,0.936712,0.955466
6.910000,1.000000,0.936901,0.955599
6.920000,1.000000,0.937089,0.955731
6.930000,1.000000,0.937277,0.955863
6.940000,1.000000,0.937464,0.955995
6.950000,1.000000,0.937650,0.956126
6.960000,1.000000,0.937836,0.956256
